date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:23:17	9720/9720	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Sep%202020%2002:23:17%20GMT	https://libreria.vercel.app/	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/index.html	(from )
21:23:17	1181/1181	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Sep%202020%2002:23:17%20GMT	https://libreria.vercel.app/robots.txt		(from )
21:23:17	15086/15086	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Sun,%2020%20Sep%202020%2002:23:17%20GMT	https://libreria.vercel.app/favicon.ico	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/favicon.ico	(from https://libreria.vercel.app/)
21:23:17	11337/11337	---MCZ	200	added ('OK')	text/css	date:Sun,%2020%20Sep%202020%2002:23:17%20GMT	https://libreria.vercel.app/_next/static/css/9d299ae2c287d7440baf.css	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/_next/static/css/9d299ae2c287d7440baf.css	(from https://libreria.vercel.app/)
21:23:18	1778/1778	---MCZ	200	added ('OK')	text/css	date:Sun,%2020%20Sep%202020%2002:23:18%20GMT	https://libreria.vercel.app/_next/static/css/7ef2d2f86e5bff7b9b50.css	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/_next/static/css/7ef2d2f86e5bff7b9b50.css	(from https://libreria.vercel.app/)
21:23:18	20999/20999	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2020%20Sep%202020%2002:23:18%20GMT	https://libreria.vercel.app/_next/static/chunks/main-dbec1086a4d31e47928e.js	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/_next/static/chunks/main-dbec1086a4d31e47928e.js	(from https://libreria.vercel.app/)
21:23:18	1539/1539	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2020%20Sep%202020%2002:23:18%20GMT	https://libreria.vercel.app/_next/static/chunks/webpack-e067438c4cf4ef2ef178.js	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/_next/static/chunks/webpack-e067438c4cf4ef2ef178.js	(from https://libreria.vercel.app/)
21:23:18	128409/128409	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2020%20Sep%202020%2002:23:18%20GMT	https://libreria.vercel.app/_next/static/chunks/framework.9ec1f7868b3e9d138cdd.js	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/_next/static/chunks/framework.9ec1f7868b3e9d138cdd.js	(from https://libreria.vercel.app/)
21:23:19	72956/72956	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2020%20Sep%202020%2002:23:18%20GMT	https://libreria.vercel.app/_next/static/chunks/05d954cf.696d6e4fdfc6f7e43982.js	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/_next/static/chunks/05d954cf.696d6e4fdfc6f7e43982.js	(from https://libreria.vercel.app/)
21:23:19	31357/31357	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2020%20Sep%202020%2002:23:19%20GMT	https://libreria.vercel.app/_next/static/chunks/commons.4b4051bd9b58d946cb2f.js	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/_next/static/chunks/commons.4b4051bd9b58d946cb2f.js	(from https://libreria.vercel.app/)
21:23:19	22836/22836	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2020%20Sep%202020%2002:23:19%20GMT	https://libreria.vercel.app/_next/static/chunks/95bb26539b6ab06a604afe5fcbe136aeb915b968.078d9e2203ce26e3e561.js	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/_next/static/chunks/95bb26539b6ab06a604afe5fcbe136aeb915b968.078d9e2203ce26e3e561.js	(from https://libreria.vercel.app/)
21:23:19	17765/17765	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2020%20Sep%202020%2002:23:19%20GMT	https://libreria.vercel.app/_next/static/chunks/e765e5f383b03d335b78c7382909817ed7d45220.37f2b9749902e96c9767.js	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/_next/static/chunks/e765e5f383b03d335b78c7382909817ed7d45220.37f2b9749902e96c9767.js	(from https://libreria.vercel.app/)
21:23:19	593/593	---M--	200	added ('OK')	application/javascript	date:Sun,%2020%20Sep%202020%2002:23:19%20GMT	https://libreria.vercel.app/_next/static/chunks/pages/_app-84a81c1db289aa7b15d0.js	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/_next/static/chunks/pages/_app-84a81c1db289aa7b15d0.js	(from https://libreria.vercel.app/)
21:23:20	22580/22580	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2020%20Sep%202020%2002:23:19%20GMT	https://libreria.vercel.app/_next/static/chunks/pages/index-a9306ea736a749ceea18.js	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/_next/static/chunks/pages/index-a9306ea736a749ceea18.js	(from https://libreria.vercel.app/)
21:23:20	3722/3722	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Sep%202020%2002:23:20%20GMT	https://libreria.vercel.app/recommend	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/recommend	(from https://libreria.vercel.app/)
21:23:20	183130/183130	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Sep%202020%2002:23:20%20GMT	https://libreria.vercel.app/sara.jpg	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/sara.jpg	(from https://libreria.vercel.app/)
21:23:20	5047/5047	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Sep%202020%2002:23:20%20GMT	https://libreria.vercel.app/books/sara	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/books/sara.html	(from https://libreria.vercel.app/)
21:23:21	16774/16774	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Sep%202020%2002:23:20%20GMT	https://libreria.vercel.app/arte.jpg	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/arte.jpg	(from https://libreria.vercel.app/)
21:23:21	17558/17558	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Sep%202020%2002:23:21%20GMT	https://libreria.vercel.app/books/suntzu	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/books/suntzu.html	(from https://libreria.vercel.app/)
21:23:21	41442/41442	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Sep%202020%2002:23:21%20GMT	https://libreria.vercel.app/principito.jpg	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/principito.jpg	(from https://libreria.vercel.app/)
21:23:21	16071/16071	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Sep%202020%2002:23:21%20GMT	https://libreria.vercel.app/books/principito	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/books/principito.html	(from https://libreria.vercel.app/)
21:23:22	62296/62296	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Sep%202020%2002:23:21%20GMT	https://libreria.vercel.app/maestria.jpg	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/maestria.jpg	(from https://libreria.vercel.app/)
21:23:22	17692/17692	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Sep%202020%2002:23:22%20GMT	https://libreria.vercel.app/books/mastery	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/books/mastery.html	(from https://libreria.vercel.app/)
21:23:22	32477/32477	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Sep%202020%2002:23:22%20GMT	https://libreria.vercel.app/coronel.jpg	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/coronel.jpg	(from https://libreria.vercel.app/)
21:23:22	10627/10627	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Sep%202020%2002:23:22%20GMT	https://libreria.vercel.app/books/coronel	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/books/coronel.html	(from https://libreria.vercel.app/)
21:23:23	17949/17949	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Sep%202020%2002:23:22%20GMT	https://libreria.vercel.app/poderahora.jpeg	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/poderahora.jpeg	(from https://libreria.vercel.app/)
21:23:23	4957/4957	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Sep%202020%2002:23:23%20GMT	https://libreria.vercel.app/books/ahora	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/books/ahora.html	(from https://libreria.vercel.app/)
21:23:23	72530/72530	---M--	200	added ('OK')	image/png	date:Sun,%2020%20Sep%202020%2002:23:23%20GMT	https://libreria.vercel.app/poder.png	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/poder.png	(from https://libreria.vercel.app/)
21:23:24	13296/13296	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Sep%202020%2002:23:23%20GMT	https://libreria.vercel.app/books/48	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/books/48.html	(from https://libreria.vercel.app/)
21:23:24	5899/5899	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Sep%202020%2002:23:23%20GMT	https://libreria.vercel.app/84.jpeg	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/84.jpeg	(from https://libreria.vercel.app/)
21:23:24	9934/9934	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Sep%202020%2002:23:24%20GMT	https://libreria.vercel.app/books/1984	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/books/1984.html	(from https://libreria.vercel.app/)
21:23:24	92329/92329	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2020%20Sep%202020%2002:23:24%20GMT	https://libreria.vercel.app/_next/static/chunks/polyfills-4beebf4ac9054f0bf4e6.js	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/_next/static/chunks/polyfills-4beebf4ac9054f0bf4e6.js	(from https://libreria.vercel.app/)
21:23:24	663/663	---M--	200	added ('OK')	application/javascript	date:Sun,%2020%20Sep%202020%2002:23:24%20GMT	https://libreria.vercel.app/_next/static/V3PWgb9gwiExYEmbETYRH/_buildManifest.js	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/_next/static/V3PWgb9gwiExYEmbETYRH/_buildManifest.js	(from https://libreria.vercel.app/)
21:23:25	112/112	---M--	200	added ('OK')	application/javascript	date:Sun,%2020%20Sep%202020%2002:23:24%20GMT	https://libreria.vercel.app/_next/static/V3PWgb9gwiExYEmbETYRH/_ssgManifest.js	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/_next/static/V3PWgb9gwiExYEmbETYRH/_ssgManifest.js	(from https://libreria.vercel.app/)
21:23:25	1482/1482	---MCZ	200	added ('OK')	text/css	date:Sun,%2020%20Sep%202020%2002:23:25%20GMT	https://libreria.vercel.app/_next/static/css/d2af416356ad5e26600a.css	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/_next/static/css/d2af416356ad5e26600a.css	(from https://libreria.vercel.app/recommend)
21:23:26	5360/5360	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2020%20Sep%202020%2002:23:25%20GMT	https://libreria.vercel.app/_next/static/chunks/pages/recommend-d55ef0b0b733ab8b9e2d.js	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/_next/static/chunks/pages/recommend-d55ef0b0b733ab8b9e2d.js	(from https://libreria.vercel.app/recommend)
21:23:30	33136/33136	---M--	200	added ('OK')	image/png	date:Sun,%2020%20Sep%202020%2002:23:29%20GMT	https://og-image.now.sh/Libreria.png?theme=light&md=0&fontSize=75px&images=https%3A%2F%2Fassets.vercel.com%2Fimage%2Fupload%2Ffront%2Fassets%2Fdesign%2Fnextjs-black-logo.svg	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/og-image.now.sh/Libreriac132.png	(from https://libreria.vercel.app/books/sara)
21:23:30	1716/1716	---MCZ	200	added ('OK')	text/css	date:Sun,%2020%20Sep%202020%2002:23:30%20GMT	https://libreria.vercel.app/_next/static/css/02a76b19e00b15d2aa9a.css	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/_next/static/css/02a76b19e00b15d2aa9a.css	(from https://libreria.vercel.app/books/sara)
21:23:30	34989/34989	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2020%20Sep%202020%2002:23:30%20GMT	https://libreria.vercel.app/_next/static/chunks/pages/books/%5Bid%5D-018662827cff85e805df.js	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/_next/static/chunks/pages/books/[id]-018662827cff85e805df.js	(from https://libreria.vercel.app/books/sara)
21:23:30	68560/68560	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Sep%202020%2002:23:30%20GMT	https://libreria.vercel.app/saramago.jpg	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/saramago.jpg	(from https://libreria.vercel.app/books/sara)
21:23:31	71309/71309	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Sep%202020%2002:23:31%20GMT	https://libreria.vercel.app/sun.jpg	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/sun.jpg	(from https://libreria.vercel.app/books/suntzu)
21:23:31	31859/31859	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Sep%202020%2002:23:31%20GMT	https://libreria.vercel.app/antonie.jpg	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/antonie.jpg	(from https://libreria.vercel.app/books/principito)
21:23:32	76435/76435	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Sep%202020%2002:23:32%20GMT	https://libreria.vercel.app/gabriel.jpg	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/gabriel.jpg	(from https://libreria.vercel.app/books/coronel)
21:23:33	101546/101546	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Sep%202020%2002:23:33%20GMT	https://libreria.vercel.app/tolle.jpg	C:/Users/hp%20omen%2015/Documents/My%20Web%20Sites/openlibrary/libreria.vercel.app/tolle.jpg	(from https://libreria.vercel.app/books/ahora)
